address,is_depot,lat,lng,time,time_window_start,time_window_end
"3634 W Market St, Fairlawn, OH 44333",true,41.135762259364,-81.629313826561,300,28800,29465
"1218 Ruth Ave, Cuyahoga Falls, OH 44221",,41.143505096435,-81.46549987793,300,29465,30529
"512 Florida Pl, Barberton, OH 44203",,41.003671512008,-81.598461046815,300,30529,33479
"512 Florida Pl, Barberton, OH 44203",,41.003671512008,-81.598461046815,300,33479,33944
"3495 Purdue St, Cuyahoga Falls, OH 44221",,41.162971496582,-81.479049682617,300,33944,34801
"1659 Hibbard Dr, Stow, OH 44224",,41.194505989552,-81.443351581693,300,34801,36366
"2705 N River Rd, Stow, OH 44224",,41.145240783691,-81.410247802734,300,36366,39173
"10159 Bissell Dr, Twinsburg, OH 44087",,41.340042114258,-81.421226501465,300,39173,41617
"367 Cathy Dr, Munroe Falls, OH 44262",,41.148578643799,-81.429229736328,300,41617,43660
"367 Cathy Dr, Munroe Falls, OH 44262",,41.148579,-81.42923,300,43660,46392
"512 Florida Pl, Barberton, OH 44203",,41.003671512008,-81.598461046815,300,46392,48089
"559 W Aurora Rd, Northfield, OH 44067",,41.315116882324,-81.558746337891,300,48089,48449
"3933 Klein Ave, Stow, OH 44224",,41.169467926025,-81.429420471191,300,48449,50152
"2148 8th St, Cuyahoga Falls, OH 44221",,41.136692047119,-81.493492126465,300,50152,51682
"3731 Osage St, Stow, OH 44224",,41.161357879639,-81.42293548584,300,51682,54379
"3862 Klein Ave, Stow, OH 44224",,41.167895123363,-81.429973393679,300,54379,54879
"138 Northwood Ln, Tallmadge, OH 44278",,41.085464134812,-81.447411775589,300,54879,56613
"3401 Saratoga Blvd, Stow, OH 44224",,41.148849487305,-81.407363891602,300,56613,57052
"5169 Brockton Dr, Stow, OH 44224",,41.195003509521,-81.392700195312,300,57052,59004
"5169 Brockton Dr, Stow, OH 44224",,41.195003509521,-81.392700195312,300,59004,60027
"458 Aintree Dr, Munroe Falls, OH 44262",,41.1266746521,-81.445808410645,300,60027,60375
"512 Florida Pl, Barberton, OH 44203",,41.003671512008,-81.598461046815,300,60375,63891
"2299 Tyre Dr, Hudson, OH 44236",,41.250511169434,-81.420433044434,300,63891,65277
"2148 8th St, Cuyahoga Falls, OH 44221",,41.136692047119,-81.493492126465,300,65277,68545
