lat,lng,alias,address,city,state,phone,revenue,pieces,weight,cube
39.43096,-74.50995,"McDonalds-Absecon,NJ",551 White Horse Pike,Absecon,NJ,(609) 645-2772,93.54,66,100.66,271.86
40.22814,-74.00912,"McDonalds-Asbury Park,NJ",1501 Main St,Asbury Park,NJ,(732) 774-1785,16.73,76,221.93,628.23
39.36152,-74.4299,"McDonalds-Atlantic City,NJ",1537 Atlantic Ave,Atlantic City,NJ,(609) 348-0866,84.88,4,590.18,653.32
39.35928,-74.43736,"McDonalds-Atlantic City,NJ",31 N Arkansas Ave,Atlantic City,NJ,(609) 344-1077,96.22,27,820.74,36.6
39.35889,-74.46115,"McDonalds-Atlantic City,NJ",600 N Albany Ave,Atlantic City,NJ,(609) 347-7737,42.27,23,89.49,755.05
40.41156,-74.04691,"McDonalds PlayPlace-Atlantic Highlands,NJ",970 Rt 36,Atlantic Highlands,NJ,(732) 291-7474,91.38,89,86.67,886.33
40.58186,-74.2933,"McDonalds-Avenel,NJ",1256 Saint Georges Ave,Avenel,NJ,(732) 636-5975,35.1,49,491.23,19.71
39.77028,-74.21124,"McDonalds-Barnegat,NJ",580 N Main St,Barnegat,NJ,(609) 660-1021,96.81,34,115.76,839.38
40.69421,-74.10345,"McDonalds-Bayonne,NJ",157 W 63rd St,Bayonne,NJ,(201) 437-4020,38.78,71,570.77,482.28
40.66541,-74.11722,"McDonalds PlayPlace-Bayonne,NJ",537 Broadway,Bayonne,NJ,(201) 858-9054,41.85,92,689.18,568.34
39.91467,-74.15432,"McDonalds-Bayville,NJ",417 Atlantic City Blvd,Bayville,NJ,(732) 269-5777,2.81,18,731.08,160.64
40.78268,-74.18259,"McDonalds-Belleville,NJ",173 Franklin St,Belleville,NJ,(973) 751-5218,46.02,9,863.9,56.2
40.80309,-74.14607,"McDonalds-Belleville,NJ",663 Washington Ave,Belleville,NJ,(973) 751-6700,14.77,54,794.44,577.85
39.78916,-74.92641,"McDonalds PlayPlace-Berlin,NJ",230 White Horse Pike,Berlin,NJ,(856) 767-0311,28.73,69,401.46,737.54
39.80104,-74.93175,"McDonalds-Berlin,NJ",Rt 73 And Milford Rd,Berlin,NJ,(856) 767-9015,56.45,82,722.3,408.64
39.80329,-75.04394,"McDonalds-Blackwood,NJ",1521 Blackwooe & Clementon,Blackwood,NJ,(856) 227-7123,58.2,35,28.07,329.27
40.80787,-74.19215,"McDonalds-Bloomfield,NJ",425 Broad St,Bloomfield,NJ,(973) 429-7244,50.91,98,822.12,130
40.90865,-74.39539,"McDonalds-Boonton,NJ",568 Myrtle Ave,Boonton,NJ,(973) 316-6115,16.3,50,466.12,575.72
40.14709,-74.70151,"McDonalds-Bordentown,NJ",255 Us 130,Bordentown,NJ,(609) 298-9802,23.77,89,323.11,696.82
